Name,Country,Genre,Status
Bacterial Husk,United States,Death Metal,Active
Bacterial Vaginosis,Indonesia,Death Metal/Grindcore,Active
Bactery,France,Heavy Metal,Active
Bactherion,Portugal,Black/Doom Metal,Changed name
Bactotavaiy,Algeria,Black Metal,Split-up
Bad Acid Trip,United States,Crossover/Thrash Metal/Grindcore,Active
Bad Actor,United States,Progressive/Sludge Metal,Split-up
Bad Ambition,Italy,"Progressive Metal (early), Hard Rock (later)",Split-up
Bad Angels,France,Heavy Metal,Split-up
Bad Angle,United States,Sludge Metal/Crust,Active
Bad Attitude,United States,Heavy Metal,Split-up
Bad Axe,United States,Heavy Metal/Hard Rock,Split-up
Bad Blood,United Kingdom,Heavy/Thrash Metal,Split-up
Bad Blood,United States,Progressive/Thrash Metal,Active
Bad Blood,Croatia,Thrash Metal/Hardcore,Active
Bad Boat,United Kingdom,"Stoner/Doom Metal (early), Hard Rock (later)",Active
Bad Comedy,Czech Republic,Death Metal,Unknown
Bad Dream,United States,Psychedelic Doom/Stoner Metal,Split-up
Bad Erection,Germany,Thrash Metal,Split-up
Bad Evolution Theory,Finland,Thrash/Alternative Metal,Active
Bad Face,Czech Republic,Death/Groove Metal,Active
Bad Habbit,United States,Thrash Metal,Split-up
Bad Habits,United States,Thrash Metal,Split-up
Bäd Hammer,Austria,Thrash Metal/Crossover,Active
Bad Heaven,United States,Speed Metal,Split-up
Bäd Influence,Germany,Heavy Metal,Active
Bad Influence,United States,Heavy Metal/Hard Rock,Unknown
Bad Intention,Germany,Melodic Heavy Metal,Unknown
Bad January,United States,Heavy/Power Metal,Split-up
Bad Joke,Chile,Heavy/Speed Metal,Split-up
Bad Karma,United States,Heavy/Power Metal,Active
Bad Karma,Australia,Power Metal,Split-up
Bad Lizard,Belgium,"Hard Rock (early), Power Metal (later)",Split-up
Bad Loser,Japan,Heavy Metal,Split-up
Bad Luck Rides on Wheels,Germany,Sludge/Doom Metal,Active
Bad Mamasan,China,Thrash Metal,Active
Bad Mean Tone,Germany,Heavy Metal,Changed name
Bad Medicine,Denmark,Hard Rock/Heavy Metal,Split-up
Bad Men,United Kingdom,Doom/Stoner Metal/Hard Rock,Active
Bad More Ending,Italy,Thrash/Groove Metal/Metalcore,Changed name
Bad News,United Kingdom,Heavy Metal,Split-up
Bad Omen,United States,Thrash Metal,Split-up
Bad Press,United States,Power Metal,Split-up
Bad Salad,Brazil,Progressive Metal/Rock,Active
Bad Steve,Germany,Heavy Metal,Split-up
Bad Taste,Poland,Thrash/Heavy Metal,Active
Bad Taste,United Kingdom,Heavy Metal,Split-up
Bad Taste,Spain,Death Metal,Split-up
Bad Taste,Brazil,Death/Thrash Metal,Active
Bad to the Bone,Italy,Death Metal,Split-up
Bad Victim,Czech Republic,"Death Metal, Groove/Thrash Metal",Active
Bad Yodelers,United States,Thrash Metal/Crossover,Changed name
Badana,Spain,Hard Rock/Heavy Metal,Active
Badass Commander,Canada,Death Metal,Active
Badfare State,Spain,Thrash Metal/Crossover,Active
Badge,Austria,Heavy Metal/Hard Rock,Split-up
Badge,United Kingdom,NWOBHM,Active
Badge of Apathy,Germany,Metalcore,Split-up
The Badger Bell Band,United Kingdom,NWOBHM,Split-up
